NTA2020,n_tracts,n_incidents,gini_tracts,crime_type
BX0501,13,320,0.30288461538461536,Robbery (outdoor)
BX0502,10,383,0.12663185378590078,Robbery (outdoor)
BX0503,7,330,0.296969696969697,Robbery (outdoor)
BX0601,5,197,0.2517766497461929,Robbery (outdoor)
BX0602,9,389,0.2930591259640103,Robbery (outdoor)
BX0603,7,505,0.22065063649222066,Robbery (outdoor)
BX0701,9,507,0.33925049309664695,Robbery (outdoor)
BX0702,11,271,0.25964441462596444,Robbery (outdoor)
BX0703,8,314,0.4394904458598726,Robbery (outdoor)
BX0801,6,136,0.18872549019607843,Robbery (outdoor)
BX0802,5,141,0.23829787234042554,Robbery (outdoor)
BX0803,14,67,0.4573560767590618,Robbery (outdoor)
BX0901,15,791,0.20514117151285294,Robbery (outdoor)
BX0902,8,210,0.3630952380952381,Robbery (outdoor)
BX0903,9,253,0.3952569169960474,Robbery (outdoor)
BX0904,5,103,0.20194174757281552,Robbery (outdoor)
BX1001,5,138,0.2956521739130435,Robbery (outdoor)
BX1002,14,145,0.47832512315270936,Robbery (outdoor)
BX1003,6,79,0.2890295358649789,Robbery (outdoor)
BX1004,7,119,0.5618247298919568,Robbery (outdoor)
BX1101,9,199,0.25795644891122277,Robbery (outdoor)
BX1102,10,99,0.28383838383838383,Robbery (outdoor)
BX1103,10,148,0.4243243243243243,Robbery (outdoor)
BX1104,9,207,0.2490606548577563,Robbery (outdoor)
BX1201,20,531,0.2699623352165725,Robbery (outdoor)
BX1202,12,319,0.23223615464994776,Robbery (outdoor)
BX1203,16,260,0.4634615384615385,Robbery (outdoor)
MN0101,7,84,0.36054421768707484,Robbery (outdoor)
MN0102,5,76,0.3631578947368421,Robbery (outdoor)
MN0201,6,124,0.2956989247311828,Robbery (outdoor)
MN0202,7,222,0.35135135135135137,Robbery (outdoor)
MN0203,7,190,0.20150375939849624,Robbery (outdoor)
MN0301,7,210,0.3768707482993197,Robbery (outdoor)
MN0302,10,292,0.4143835616438356,Robbery (outdoor)
MN0303,14,290,0.3374384236453202,Robbery (outdoor)
MN0401,13,302,0.2898624554253693,Robbery (outdoor)
MN0402,10,317,0.33343848580441643,Robbery (outdoor)
MN0501,8,360,0.23680555555555555,Robbery (outdoor)
MN0502,14,646,0.45975232198142413,Robbery (outdoor)
MN0601,2,7,0.21428571428571427,Robbery (outdoor)
MN0602,4,91,0.07417582417582418,Robbery (outdoor)
MN0603,9,126,0.30687830687830686,Robbery (outdoor)
MN0604,10,103,0.2087378640776699,Robbery (outdoor)
MN0701,11,134,0.25780189959294436,Robbery (outdoor)
MN0702,12,167,0.18712574850299402,Robbery (outdoor)
MN0703,6,126,0.2222222222222222,Robbery (outdoor)
MN0801,14,107,0.43724966622162886,Robbery (outdoor)
MN0802,14,140,0.2724489795918367,Robbery (outdoor)
MN0803,14,86,0.5182724252491694,Robbery (outdoor)
MN0901,8,128,0.375,Robbery (outdoor)
MN0902,5,192,0.3104166666666667,Robbery (outdoor)
MN0903,7,227,0.16236626809314034,Robbery (outdoor)
MN1001,10,329,0.31519756838905777,Robbery (outdoor)
MN1002,15,446,0.17040358744394618,Robbery (outdoor)
MN1101,11,355,0.35441741357234313,Robbery (outdoor)
MN1102,12,631,0.2523771790808241,Robbery (outdoor)
MN1201,11,402,0.30303030303030304,Robbery (outdoor)
MN1202,12,376,0.38430851063829785,Robbery (outdoor)
MN1203,6,235,0.3354609929078014,Robbery (outdoor)
QN0101,17,103,0.4340376927470017,Robbery (outdoor)
QN0102,6,38,0.2543859649122807,Robbery (outdoor)
QN0103,11,110,0.23636363636363636,Robbery (outdoor)
QN0104,14,155,0.2631336405529954,Robbery (outdoor)
QN0105,12,204,0.434640522875817,Robbery (outdoor)
QN0201,9,131,0.40882103477523324,Robbery (outdoor)
QN0202,18,202,0.24972497249724973,Robbery (outdoor)
QN0203,14,227,0.32693517935808686,Robbery (outdoor)
QN0301,20,517,0.4117021276595745,Robbery (outdoor)
QN0302,10,95,0.22421052631578947,Robbery (outdoor)
QN0303,10,355,0.15859154929577465,Robbery (outdoor)
QN0401,23,858,0.4422823553258336,Robbery (outdoor)
QN0402,17,553,0.3354962238059781,Robbery (outdoor)
QN0501,20,69,0.4543478260869565,Robbery (outdoor)
QN0502,19,299,0.37986270022883295,Robbery (outdoor)
QN0503,13,71,0.46803900325027087,Robbery (outdoor)
QN0504,14,41,0.38501742160278746,Robbery (outdoor)
QN0601,8,44,0.3125,Robbery (outdoor)
QN0602,24,103,0.35558252427184467,Robbery (outdoor)
QN0701,7,70,0.2530612244897959,Robbery (outdoor)
QN0702,7,30,0.29523809523809524,Robbery (outdoor)
QN0703,5,11,0.32727272727272727,Robbery (outdoor)
QN0704,15,82,0.4065040650406504,Robbery (outdoor)
QN0705,14,72,0.44841269841269843,Robbery (outdoor)
QN0706,5,99,0.3151515151515151,Robbery (outdoor)
QN0707,14,393,0.4636495819701927,Robbery (outdoor)
QN0801,8,43,0.3168604651162791,Robbery (outdoor)
QN0802,8,45,0.5194444444444445,Robbery (outdoor)
QN0803,6,47,0.43617021276595747,Robbery (outdoor)
QN0804,8,40,0.43125,Robbery (outdoor)
QN0805,10,137,0.48832116788321167,Robbery (outdoor)
QN0901,9,34,0.3006535947712418,Robbery (outdoor)
QN0902,13,123,0.3689806128830519,Robbery (outdoor)
QN0903,9,91,0.21978021978021978,Robbery (outdoor)
QN0904,10,109,0.3403669724770642,Robbery (outdoor)
QN0905,13,103,0.42718446601941745,Robbery (outdoor)
QN1001,25,341,0.3275073313782991,Robbery (outdoor)
QN1002,7,123,0.281068524970964,Robbery (outdoor)
QN1003,4,55,0.29545454545454547,Robbery (outdoor)
QN1101,13,49,0.35478806907378335,Robbery (outdoor)
QN1102,13,52,0.46449704142011833,Robbery (outdoor)
QN1103,6,13,0.3717948717948718,Robbery (outdoor)
QN1104,5,27,0.4,Robbery (outdoor)
QN1201,15,710,0.3340845070422535,Robbery (outdoor)
QN1202,14,171,0.39055973266499583,Robbery (outdoor)
QN1203,20,116,0.3,Robbery (outdoor)
QN1204,6,62,0.46774193548387094,Robbery (outdoor)
QN1205,23,115,0.35614366729678637,Robbery (outdoor)
QN1206,10,106,0.38301886792452833,Robbery (outdoor)
QN1301,6,15,0.5444444444444444,Robbery (outdoor)
QN1302,6,35,0.16666666666666666,Robbery (outdoor)
QN1303,20,100,0.435,Robbery (outdoor)
QN1304,13,42,0.42857142857142855,Robbery (outdoor)
QN1305,11,42,0.4199134199134199,Robbery (outdoor)
QN1306,7,75,0.49142857142857144,Robbery (outdoor)
