BoroCT2020,n_blocks,gini_blocks,n_incidents,crime_type
2028900,35,NA,0,Murder
2029301,22,NA,0,Murder
2029302,52,NA,0,Murder
2029500,43,NA,0,Murder
2029600,90,0.9888888888888889,1,Murder
2029700,42,NA,0,Murder
2030000,66,NA,0,Murder
2030100,22,NA,0,Murder
2030201,39,NA,0,Murder
2030202,10,NA,0,Murder
2030701,54,NA,0,Murder
2030900,85,NA,0,Murder
2031000,79,NA,0,Murder
2031200,26,NA,0,Murder
2031400,30,NA,0,Murder
2031600,25,NA,0,Murder
2031800,33,NA,0,Murder
2031900,16,NA,0,Murder
2032300,64,NA,0,Murder
2032400,43,0.9767441860465116,1,Murder
2032600,49,NA,0,Murder
2032800,30,NA,0,Murder
2033000,35,0.9428571428571428,2,Murder
2033201,24,NA,0,Murder
2033202,12,0.9166666666666666,2,Murder
2033500,108,NA,0,Murder
2033601,19,0.8421052631578947,3,Murder
2033602,9,NA,0,Murder
2033700,60,NA,0,Murder
2033801,21,NA,0,Murder
2033802,6,0.8333333333333334,1,Murder
2034000,20,NA,0,Murder
2034200,29,NA,0,Murder
2034300,21,NA,0,Murder
2034400,26,NA,0,Murder
2034500,53,NA,0,Murder
2034800,67,0.9751243781094527,3,Murder
2035000,49,NA,0,Murder
2035100,62,NA,0,Murder
2035600,48,NA,0,Murder
2035800,99,0.9831649831649831,3,Murder
2035900,39,0.9487179487179487,2,Murder
2036000,52,0.9423076923076923,3,Murder
2036100,28,0.8928571428571429,3,Murder
2036300,54,0.9259259259259259,4,Murder
2036400,30,NA,0,Murder
2036501,17,0.8235294117647058,3,Murder
2036502,17,0.8705882352941177,5,Murder
2036700,17,0.9019607843137255,3,Murder
2036800,22,NA,0,Murder
2036901,24,0.8583333333333333,5,Murder
2036902,12,NA,0,Murder
2037000,27,NA,0,Murder
2037100,33,0.9393939393939394,2,Murder
2037200,39,NA,0,Murder
2037300,38,0.9736842105263158,1,Murder
2037400,35,0.9142857142857143,3,Murder
2037504,44,0.9545454545454546,2,Murder
2037600,15,NA,0,Murder
2037800,24,NA,0,Murder
2037900,27,0.9629629629629629,1,Murder
2038000,35,0.9428571428571428,2,Murder
2038100,30,0.8333333333333334,5,Murder
2038200,31,0.967741935483871,1,Murder
2038301,17,0.9411764705882353,1,Murder
2038303,14,0.8571428571428571,2,Murder
2038304,9,NA,0,Murder
2038500,52,0.9423076923076923,3,Murder
2038600,72,0.9722222222222222,2,Murder
2038700,33,NA,0,Murder
2038800,17,0.8823529411764706,2,Murder
2038900,31,0.946236559139785,3,Murder
2039000,13,0.8461538461538461,2,Murder
2039100,53,0.9528301886792453,4,Murder
2039200,10,0.9,1,Murder
2039300,23,0.9130434782608695,2,Murder
2039400,14,0.8809523809523809,3,Murder
2039500,56,0.9285714285714286,4,Murder
2039600,21,0.9523809523809523,1,Murder
2039700,41,0.975609756097561,1,Murder
2039800,18,NA,0,Murder
2039901,43,0.9767441860465116,1,Murder
2039902,16,0.875,2,Murder
2040100,21,0.9523809523809523,1,Murder
2040302,7,NA,0,Murder
2040303,14,NA,0,Murder
2040304,8,0.875,2,Murder
2040400,19,NA,0,Murder
2040501,14,0.9285714285714286,1,Murder
2040502,24,0.8916666666666667,5,Murder
2040600,21,0.9047619047619048,2,Murder
2040701,7,0.8571428571428571,1,Murder
2040702,26,NA,0,Murder
2040800,20,NA,0,Murder
2040900,37,0.972972972972973,1,Murder
2041100,19,NA,0,Murder
2041300,29,0.9655172413793104,1,Murder
2041400,67,NA,0,Murder
2041500,20,0.95,1,Murder
2041800,39,0.9487179487179487,2,Murder
2041900,50,0.95,4,Murder
2042000,16,0.8958333333333334,3,Murder
2042100,36,0.9722222222222222,1,Murder
2042200,24,0.9583333333333334,1,Murder
2042300,19,0.8421052631578947,3,Murder
2042400,24,0.9583333333333334,1,Murder
2042500,42,0.9523809523809523,2,Murder
2042600,64,0.9609375,4,Murder
2042800,21,NA,0,Murder
2042901,14,0.8571428571428571,2,Murder
2042902,12,NA,0,Murder
2043000,38,NA,0,Murder
2043101,13,NA,0,Murder
2043102,15,NA,0,Murder
2043400,49,0.9659863945578231,3,Murder
2043501,12,NA,0,Murder
2043600,25,NA,0,Murder
2044200,50,0.94,3,Murder
2044400,37,NA,0,Murder
2044800,21,NA,0,Murder
2044901,32,NA,0,Murder
2044902,17,NA,0,Murder
2045101,30,NA,0,Murder
2045102,27,NA,0,Murder
2045600,71,0.9859154929577465,1,Murder
2045800,34,0.9705882352941176,2,Murder
2046000,30,0.9666666666666667,1,Murder
2046203,62,0.9838709677419355,1,Murder
2046204,14,NA,0,Murder
2046205,38,NA,0,Murder
2046206,10,0.9,1,Murder
2046207,22,NA,0,Murder
2046208,72,0.9861111111111112,1,Murder
2046209,58,0.9827586206896551,1,Murder
2048401,93,NA,0,Murder
2048402,8,NA,0,Murder
2051601,153,NA,0,Murder
3000100,51,NA,0,Murder
3000200,59,NA,0,Murder
3000301,29,NA,0,Murder
3000501,16,NA,0,Murder
3000502,15,NA,0,Murder
3000700,33,NA,0,Murder
3000900,30,NA,0,Murder
3001100,22,0.9090909090909091,2,Murder
3001300,58,0.9655172413793104,2,Murder
