precinct,traj_label,n,total_blocks,pct_of_precinct
46,Moderate,125,592,21.114864864864867
46,High,119,592,20.10135135135135
46,Very high,112,592,18.91891891891892
46,Chronic-high,31,592,5.236486486486487
47,Crime-free,221,1670,13.233532934131736
47,Low-increasing,409,1670,24.491017964071858
47,Low-moderate,447,1670,26.766467065868266
47,Moderate,315,1670,18.862275449101794
47,High,193,1670,11.55688622754491
47,Very high,75,1670,4.491017964071856
