year,crime_type,total_n,x50,gini_val,pct_zero
2008,Vehicle accessory theft,4559,1.6720422882229091,0.964376064582215,95.77565739371948
2009,Vehicle accessory theft,4994,1.80643282712897,0.9613028623641924,95.39712404246741
2010,Vehicle accessory theft,4519,1.605966939927429,0.9655683375097297,95.86413116516597
2011,Vehicle accessory theft,4672,1.775075034717556,0.9624790120254986,95.60878914124446
2012,Vehicle accessory theft,4381,1.7089996864220758,0.9641559404498681,95.83837297854231
2013,Vehicle accessory theft,3805,1.5029341934327822,0.9686063495085268,96.36697576490614
2014,Vehicle accessory theft,4179,1.60820678224253,0.9661481761332243,96.05227791963445
2015,Vehicle accessory theft,3818,1.3674237333691708,0.9706590747158598,96.49464677686692
2016,Vehicle accessory theft,3763,1.3248667293822516,0.9714318529195848,96.56856157326524
2017,Vehicle accessory theft,3467,1.2968687004434887,0.9724767665943858,96.76230793352148
2018,Vehicle accessory theft,3304,1.075124311248488,0.9762553868750012,97.07476593647807
2019,Vehicle accessory theft,3598,1.2173542982574026,0.9734366155875545,96.76790753930923
2020,Vehicle accessory theft,5486,1.8534695157460914,0.9593780425783653,95.07458674909286
2021,Vehicle accessory theft,6743,2.3339156923352595,0.9492249222148903,93.89083008556197
2022,Vehicle accessory theft,11904,3.665501948662814,0.916550911374979,89.66872732159656
2023,Vehicle accessory theft,8547,2.9442727232002865,0.9358891627067948,92.2703041705864
2024,Vehicle accessory theft,6235,1.8680284907942482,0.9572975319955278,94.64117726112082
2006,Theft from auto,34729,5.508892173990951,0.84875221234654,77.32719616538995
2007,Theft from auto,33060,5.1941943287192585,0.8562351241204622,78.38440173811763
2008,Theft from auto,34205,5.426018008332213,0.8513859506442478,77.73148770326569
2009,Theft from auto,30198,5.157236930520091,0.8589398147353273,79.41136943959145
2010,Theft from auto,28664,5.0049276530932225,0.8629581696538712,80.1661962997805
2011,Theft from auto,26502,4.852618375666353,0.8673686576902387,81.14164762800698
2012,Theft from auto,22833,4.457286207051023,0.8765528447724885,82.94808045513595
2013,Theft from auto,21447,4.198584419656856,0.882994228496471,83.88433454284818
2014,Theft from auto,20876,4.135868834834028,0.8846344087657892,84.18671325538682
2015,Theft from auto,18226,4.309456614254357,0.8898555722737144,85.48470187698786
2016,Theft from auto,17354,4.278098821842942,0.8927541080455637,86.0043452940913
2017,Theft from auto,17183,4.167226627245442,0.8948366378835132,86.21153070823814
2018,Theft from auto,15287,4.014917349818573,0.9025716219067286,87.42552524302289
2019,Theft from auto,15283,3.9880392420373605,0.9028108068905094,87.45464319311921
2020,Theft from auto,19932,4.092191909689558,0.8871503332177857,84.75115351879228
2021,Theft from auto,17510,4.027236482551628,0.8954635313376965,86.16785378309368
2022,Theft from auto,21346,4.577117770908928,0.8764594289342692,83.4699637145545
2023,Theft from auto,20710,4.775343815795368,0.8759658646733346,83.62787259776911
2024,Theft from auto,18347,4.7361465752811,0.8834787215260854,84.99081664650808
2006,Pickpocket (transit),368,0.036957398199166776,0.9988916432457068,99.81185324553151
2007,Pickpocket (transit),330,0.03359763472651525,0.9989763241879893,99.82753214173722
2008,Pickpocket (transit),243,0.03583747704161627,0.9989984770915749,99.84769072257313
2009,Pickpocket (transit),148,0.025758186623661694,0.9992761374464103,99.8958473323478
2010,Pickpocket (transit),188,0.03359763472651525,0.9990572408383301,99.86560946109394
2011,Pickpocket (transit),189,0.03247771356896474,0.9991474970532445,99.87568875151189
2012,Pickpocket (transit),241,0.040317161671818307,0.9989514099203267,99.84433095910047
2013,Pickpocket (transit),361,0.04479684630202034,0.998702659753806,99.79505442816826
2014,Pickpocket (transit),450,0.045916767459570844,0.9987231903318451,99.7894548223805
2015,Pickpocket (transit),473,0.040317161671818307,0.9987837845644842,99.78385521659276
2016,Pickpocket (transit),521,0.04143708282936881,0.998803017089094,99.78721498006541
2017,Pickpocket (transit),452,0.048156609774671864,0.9986943007707832,99.78609505890785
2018,Pickpocket (transit),510,0.039197240514267796,0.9988156943555095,99.78609505890785
2019,Pickpocket (transit),314,0.04143708282936881,0.9988387059589221,99.81745285131926
2020,Pickpocket (transit),139,0.030237871253863728,0.9991926093582868,99.89248756887515
2021,Pickpocket (transit),129,0.029117950096313218,0.9992520836610622,99.90144693813555
2022,Pickpocket (transit),287,0.03247771356896474,0.9990415894233241,99.84433095910047
2023,Pickpocket (transit),331,0.029117950096313218,0.9990865706498371,99.83985127447028
2024,Pickpocket (transit),357,0.030237871253863728,0.9990446790193029,99.82977198405231
2006,Pickpocket (non-transit),1876,0.3034986336961878,0.9909020494509425,98.67065358598754
2007,Pickpocket (non-transit),1578,0.3113380817990413,0.9914436746086536,98.8050441248936
2008,Pickpocket (non-transit),1328,0.30013887022353625,0.9922771485080222,98.95623348116293
2009,Pickpocket (non-transit),992,0.2934193432782332,0.9932977460322278,99.1510997625767
2010,Pickpocket (non-transit),1072,0.29005957980558167,0.9931762117379772,99.10966267974734
2011,Pickpocket (non-transit),1024,0.2486224969762129,0.9937936025553801,99.17797787035792
2012,Pickpocket (non-transit),1285,0.2866998163329302,0.9925935561218202,98.99431080051964
2013,Pickpocket (non-transit),2166,0.3191775299018949,0.990216532154105,98.52394391434844
2014,Pickpocket (non-transit),2985,0.3594946915737132,0.988207162678059,98.11517269184249
2015,Pickpocket (non-transit),2951,0.34941540115575864,0.9884116850820263,98.13645119383595
2016,Pickpocket (non-transit),2914,0.3113380817990413,0.988965110143823,98.18908748824083
2017,Pickpocket (non-transit),2574,0.3449357165255566,0.988864181009054,98.28204094431752
2018,Pickpocket (non-transit),2477,0.2766205259149756,0.9902324202173503,98.41979124669624
2019,Pickpocket (non-transit),1930,0.28222013170272814,0.9910735668664885,98.6628141378847
2020,Pickpocket (non-transit),1077,0.30909823948394033,0.9928670172966155,99.08838417775388
2021,Pickpocket (non-transit),1430,0.20270572951664204,0.9934877132901592,99.01222953904045
2022,Pickpocket (non-transit),2567,0.1993459660439905,0.9921714806174412,98.5900192626439
2023,Pickpocket (non-transit),3019,0.2116650987770461,0.991222158867601,98.38283384849706
2024,Pickpocket (non-transit),2904,0.2766205259149756,0.9901290827913594,98.32235810598934
2006,Shootings,1566,0.6753124580029566,0.9861056688377976,98.447789275635
2007,Shootings,1442,0.5812390807687139,0.9878565442196753,98.61129776463737
2008,Shootings,1520,0.6461945079066433,0.9866546216199011,98.50266541235497
2009,Shootings,1420,0.6495542713792949,0.9867826431779766,98.55530170675985
2010,Shootings,1473,0.6327554540160373,0.9869794073489758,98.5429825740268
2011,Shootings,1510,0.6439546655915424,0.9867167412341323,98.51050486045783
2012,Shootings,1373,0.5890785288715674,0.987868301121856,98.64265555704878
2013,Shootings,1103,0.5050844420552794,0.9897279064736073,98.87783900013439
2014,Shootings,1172,0.5106840478430319,0.9895083836609848,98.83304215383237
2015,Shootings,1138,0.5162836536307844,0.9894746699814758,98.84648120772297
2016,Shootings,997,0.4782063342740671,0.9903396185061029,98.96407292926578
2017,Shootings,789,0.36621421851901625,0.992568052740139,99.19253684540608
2018,Shootings,754,0.36509429736146576,0.9926223337113141,99.212695426241993
2019,Shootings,777,0.3863727993549254,0.9922291740931709,99.17909779151547
2020,Shootings,1532,0.6461945079066433,0.9866258313587047,98.49594588540967
2021,Shootings,1562,0.6977108811539667,0.985735072368703,98.42763069479908
2022,Shootings,1294,0.590198450029118,0.9879805803247959,98.68521256103571
2023,Shootings,974,0.44348877839000134,0.9909733664811599,99.0111096178829
2024,Shootings,904,0.4278098821842942,0.9913364930967267,99.06598575460288
2006,7 Major Felonies,126881,6.016216458361331,0.8005644115771264,59.07472113963177
2007,7 Major Felonies,119856,5.761994355597366,0.8067961870510347,60.31559378219773
2008,7 Major Felonies,117441,6.009496931416028,0.8037630877993893,60.41638668637728
2009,7 Major Felonies,106095,5.982618823634816,0.8063876098438189,61.85324553151458
2010,7 Major Felonies,105813,5.9848586659499174,0.8069228161582621,61.96859741074229
2011,7 Major Felonies,107393,6.077812122026609,0.804548703821608,61.59230390180531
2012,7 Major Felonies,112028,6.085651570129463,0.8037805945509674,61.0312234018725
2013,7 Major Felonies,111661,5.963580163956458,0.8059955559936561,61.258567396855256
2014,7 Major Felonies,107447,5.959100479326255,0.8077121441476136,61.96411772611208
2015,7 Major Felonies,106001,5.786632621063477,0.8108966583682179,62.34265107736415
2016,7 Major Felonies,102215,5.789992384536129,0.8114834802486042,62.84437575594678
2017,7 Major Felonies,96992,5.632083501321507,0.8164722598448237,64.05949021188908
2018,7 Major Felonies,96038,5.43945706222282,0.821395874273986,64.72024369484389
2019,7 Major Felonies,95703,5.37562155624244,0.8228248657190274,64.8423151010169
